id,name,mobile,fatherName,fatherMobile,course,category,familyIncome,state,percentage,referedby,councellor,remark,calledBy,timeStamp,universityInterest
1,Courtnay,41,Hannie,48,Green,Purple,364649788-2,Green,052397752-2,Purple,Maroon,false,Plastic,12/15/2022,#551057
2,Carree,58,Ced,53,Pink,Blue,520617205-7,Crimson,477268700-9,Crimson,Pink,true,Aluminum,"04-06-2023 17:08:10",#a02e88
3,Sanson,89,Mark,26,Mauv,Orange,793228064-8,Pink,936306547-2,Fuscia,Indigo,true,Stone,3/16/2023,#3173bc
4,Myrwyn,83,Alys,63,Blue,Maroon,692786543-8,Yellow,506028789-0,Red,Maroon,true,Vinyl,10/27/2022,#0071f5
5,Abram,36,Gianna,1,Pink,Green,001903297-8,Teal,231646685-0,Aquamarine,Violet,true,Brass,11/1/2022,#c6f800
6,Jordon,23,Griffie,88,Teal,Crimson,227909942-X,Pink,334876884-5,Crimson,Mauv,true,Vinyl,5/8/2023,#dd4b35
7,Myca,13,Aeriel,34,Aquamarine,Red,337391980-0,Red,184726181-7,Blue,Mauv,true,Plexiglass,9/1/2022,#66fc38
8,Teddi,77,Boothe,58,Aquamarine,Orange,215357188-X,Crimson,547987465-9,Maroon,Indigo,true,Aluminum,8/11/2022,#a38a1d
9,Gladi,76,Tandi,74,Indigo,Green,758269226-8,Purple,415203124-7,Purple,Aquamarine,false,Aluminum,4/24/2023,#a7299d
10,James,76,Maye,52,Fuscia,Puce,438326671-1,Crimson,282101440-6,Mauv,Aquamarine,true,Glass,8/11/2022,#75a479
11,Daune,59,Malvina,13,Green,Violet,709684363-9,Yellow,661947228-1,Violet,Maroon,true,Stone,10/6/2022,#4758f6
12,Verine,19,Constantia,44,Khaki,Teal,849255538-6,Yellow,164798627-3,Yellow,Indigo,false,Glass,3/14/2023,#5e0cda
13,Bobinette,78,Seth,87,Purple,Khaki,120371480-7,Yellow,924560336-9,Orange,Puce,false,Steel,10/21/2022,#e01852
14,Feliks,14,Leon,2,Teal,Blue,852660257-8,Indigo,077434734-1,Puce,Blue,true,Aluminum,3/6/2023,#0fe524
15,Jeannine,96,Lannie,19,Violet,Teal,901453973-8,Pink,871456751-2,Maroon,Green,false,Plexiglass,5/9/2023,#0f9b44
16,Hadlee,25,Hobie,26,Red,Puce,497058773-6,Aquamarine,127877971-X,Violet,Blue,false,Granite,4/12/2023,#d85d77
17,Genny,43,Helene,29,Green,Yellow,465814846-3,Khaki,760021107-6,Orange,Puce,false,Aluminum,12/14/2022,#7ac0e1
18,Katrina,77,Anna-maria,93,Yellow,Crimson,869027231-3,Pink,878498705-7,Puce,Aquamarine,false,Steel,12/28/2022,#d5a07a
19,Kameko,14,Maryrose,64,Violet,Puce,472234610-0,Turquoise,305277931-1,Puce,Red,true,Plexiglass,2/16/2023,#ca74d9
20,Kelby,3,Shelton,3,Goldenrod,Mauv,440285951-4,Crimson,598912724-3,Khaki,Blue,false,Stone,9/22/2022,#4c02c7
21,Herculie,28,Gisela,61,Teal,Red,786953725-X,Mauv,920422017-1,Crimson,Khaki,true,Steel,2/14/2023,#df8991
22,Kylila,9,Rani,9,Goldenrod,Red,145515343-5,Orange,377806261-1,Maroon,Green,false,Glass,11/13/2022,#3cd73e
23,Oriana,5,Stavro,73,Puce,Pink,149057107-8,Aquamarine,399452137-8,Red,Orange,true,Granite,9/1/2022,#dab0dc
24,Chiarra,11,Averil,15,Puce,Orange,047488098-2,Goldenrod,424347411-7,Mauv,Pink,false,Vinyl,11/8/2022,#64e6e6
25,Justine,6,Windy,9,Teal,Maroon,941838208-3,Khaki,072947748-7,Purple,Purple,true,Brass,9/2/2022,#1d0842
26,Eugenie,37,Yankee,61,Maroon,Blue,806559540-5,Red,208280978-1,Teal,Crimson,false,Brass,7/9/2022,#94824a
27,Nevin,26,Leyla,16,Indigo,Goldenrod,026552513-6,Crimson,071386412-5,Teal,Maroon,false,Rubber,6/28/2022,#73a1ec
28,Cynthy,17,Davidson,6,Teal,Fuscia,230459985-0,Mauv,136501867-9,Aquamarine,Puce,false,Wood,12/12/2022,#bc9951
29,Perl,69,Valaree,41,Yellow,Khaki,469856437-9,Red,496248345-5,Puce,Goldenrod,true,Vinyl,5/22/2023,#02b229
30,Felita,58,Robinson,62,Violet,Goldenrod,210908589-4,Blue,990809068-2,Puce,Purple,false,Vinyl,1/31/2023,#826563
