fid,10Per,12per,stream,graduation,graduationPer,scholarship,gender,address,distt,panchayat,school,adhar,counsellor,timestamp,hcat
1,83,94,Temp,Toughjoyfax,85,PellentesqueEgetNunc.avi,Male,"Apt 1902","676 Blue Bill Park Court",Alaska,"Phalacrocorax niger",778334931435,"Morgen Aps",10/23/2022,false
2,80,89,Bamity,Lotlux,89,DictumstMaecenasUt.mpeg,Male,"PO Box 78530","85222 Carberry Lane",Alaska,"Sciurus niger",215857666510,"Thorpe Battey",6/27/2022,false
3,93,88,Pannier,Ventosanzap,84,Nulla.mp3,Female,"Suite 46","67 Monterey Way",Alaska,"Haliaetus leucogaster",887980109813,"Jenica Jills",2/4/2023,true
4,70,89,Kanlam,Stim,89,NamUltrices.png,Female,"Suite 77","4 Esker Lane",Alaska,"Spizaetus coronatus",564062750019,"Deena Ticic",5/27/2022,true
5,100,85,Biodex,"Home Ing",97,SedMagna.jpeg,Female,"6th Floor","0613 Stephen Trail",Alaska,"Platalea leucordia",435093739255,"Ainslee Davoren",5/16/2023,true
6,72,84,Subin,Keylex,87,ALibero.mp3,Female,"Apt 1740","34896 Ridgeview Street",Alaska,"Agama sp.",796827301691,"Philomena Redgewell",6/29/2022,true
7,73,91,Daltfresh,Fintone,89,QuisLectusSuspendisse.ppt,Male,"Suite 25","616 Canary Circle",Alaska,"Phascogale tapoatafa",702745039599,"Zebadiah Spottiswood",12/17/2022,false
8,80,98,Domainer,Flowdesk,91,OrciVehiculaCondimentum.ppt,Male,"PO Box 23460","48826 Anhalt Alley",Alaska,unavailable,599333942303,"Hyatt Gamwell",7/14/2022,true
9,96,90,Rank,Voyatouch,82,TempusVivamusIn.xls,Male,"PO Box 93134","5374 Randy Street",Alaska,"Anhinga rufa",555946229208,"Granny Mussettini",8/14/2022,false
10,81,83,"Home Ing",Namfix,96,TellusInSagittis.jpeg,Female,"PO Box 51366","1 Bunting Alley",Alaska,"Naja haje",210116187507,"Bel Basill",8/14/2022,false
11,75,85,Aerified,Opela,100,Consequat.xls,Male,"3rd Floor","2 Moland Drive",Alaska,"Sagittarius serpentarius",316385266138,"Lin Boshard",5/28/2022,false
12,97,71,Tempsoft,Andalax,86,NullaUt.mp3,Female,"Suite 52","7640 Stone Corner Drive",Alaska,"Tachybaptus ruficollis",277661803573,"Ame Spittle",3/26/2023,false
13,89,98,Wrapsafe,Tresom,99,AdipiscingMolestie.pdf,Male,"PO Box 21459","54 Ohio Circle",Alaska,"Ardea cinerea",968930028084,"Arch Chelam",9/10/2022,true
14,93,97,Stronghold,Tampflex,81,DonecDapibusDuis.avi,Female,"16th Floor","2 Tomscot Way",Alaska,"Canis aureus",732818191010,"Sharia Finker",7/1/2022,true
15,94,83,Ronstring,Zoolab,80,VelLectus.jpeg,Female,"3rd Floor","21 Northridge Road",Alaska,"Uraeginthus granatina",464676765826,"Polly Dodman",2/11/2023,true
16,88,73,Ventosanzap,Zathin,95,Turpis.mp3,Female,"PO Box 28861","1 Westend Center",Alaska,"Paraxerus cepapi",333354072678,"Shantee Symson",8/4/2022,false
17,70,70,Latlux,Tresom,99,Eleifend.jpeg,Female,"16th Floor","84402 Tennyson Hill",Alaska,"Spermophilus lateralis",834214318330,"Rebecca Cyseley",8/16/2022,true
18,78,87,Bytecard,Zathin,85,Morbi.mp3,Male,"Room 910","0 Shelley Street",Alaska,"Ciconia ciconia",925090969875,"Mortimer Korbmaker",1/19/2023,true
19,98,96,Tres-Zap,Konklux,80,QuisAugueLuctus.ppt,Male,"PO Box 582","551 Meadow Valley Circle",Alaska,"Bucorvus leadbeateri",509441981705,"Winfield Tofful",3/10/2023,true
20,92,81,Voyatouch,Hatity,94,Proin.jpeg,Male,"Room 1951","461 Rockefeller Trail",Alaska,"Leprocaulinus vipera",213427790054,"Blaine Wennam",7/12/2022,true
21,78,84,Fintone,"Home Ing",92,SitAmet.tiff,Female,"Apt 584","74060 Bashford Point",Alaska,"Macropus robustus",217672001629,"Kary Roony",2/5/2023,false
22,72,78,Cardguard,Sonsing,87,LobortisSapien.jpeg,Female,"Suite 90","42 Grayhawk Hill",Alaska,"Phalacrocorax albiventer",872168328949,"Maurise Pettinger",11/18/2022,true
23,78,76,Span,Tin,91,Leo.avi,Female,"Suite 100","6610 Dakota Point",Alaska,"Alcelaphus buselaphus cokii",927768311062,"Meris Skip",7/25/2022,false
